#[Manufacturer],[Hostname],[Delta t],[Date],[Mode],[File Version],"Rules:
Choose closest ms value to stapwatch time
If tie choose bigger value
if more than 10ms away dont fill in the value",
Thorlabs,PM5020_5E,10 ms,2026-07-30 22:56:56,CW,1,,
,,,,,,,
#[Ch],[Name],[Serial],[Type],[Wavelength],[Range],[Attenuation],[Unit]
0,S425C-L,1932731,Thermopile,1064 nm,auto,0 dB,W
1,S120VC,230131112,Photodiode,1064 nm,auto,0 dB,W
,,,,,,,
#[ms],[Ch: 1],[Ch: 2],#[meter],,,,
9464359,1.08E+00,4.40E-04,0.233,,,,
9467859,1.09E+00,4.40E-04,0.232,,,,
9471489,1.09E+00,4.39E-04,0.231,,,,
9476050,1.09E+00,4.39E-04,0.23,,,,
9479340,1.09E+00,4.39E-04,0.229,,,,
9483650,1.09E+00,4.39E-04,0.228,,,,
9491700,1.09E+00,4.38E-04,0.227,,,,
9496810,1.09E+00,4.39E-04,0.226,,,,
9501160,1.08E+00,4.39E-04,0.225,,,,
9505920,1.09E+00,4.38E-04,0.224,,,,
9509080,1.09E+00,4.38E-04,0.223,,,,
9512660,1.09E+00,4.38E-04,0.222,,,,
9515290,1.09E+00,4.38E-04,0.221,,,,
9517890,1.09E+00,4.38E-04,0.22,,,,
9620190,1.09E+00,4.38E-04,0.219,,,,
9623420,1.09E+00,4.38E-04,0.218,,,,
9627230,1.08E+00,4.38E-04,0.217,,,,
9630540,1.09E+00,4.38E-04,0.216,,,,
9634150,1.09E+00,4.38E-04,0.215,,,,
9637760,1.09E+00,4.38E-04,0.214,,,,
9641080,1.09E+00,4.37E-04,0.213,,,,
9644910,1.09E+00,4.38E-04,0.212,,,,
9647990,1.09E+00,4.38E-04,0.211,,,,
9653350,1.09E+00,4.37E-04,0.21,,,,
9656430,1.09E+00,4.37E-04,0.209,,,,
9660430,1.09E+00,4.36E-04,0.208,,,,
9663730,1.09E+00,4.36E-04,0.207,,,,
9667700,1.09E+00,4.36E-04,0.206,,,,
9674090,1.09E+00,4.36E-04,0.205,,,,
9677090,1.09E+00,4.36E-04,0.204,,,,
9682490,1.09E+00,4.35E-04,0.203,,,,
9686049,1.09E+00,4.36E-04,0.202,,,,
9690839,1.09E+00,4.35E-04,0.201,,,,
9694649,1.09E+00,4.35E-04,0.2,,,,
9708040,1.09E+00,4.33E-04,0.199,,,,
9711890,1.09E+00,4.33E-04,0.198,,,,
9714970,1.09E+00,4.33E-04,0.197,,,,
9718180,1.09E+00,4.34E-04,0.196,,,,
9724920,1.09E+00,4.33E-04,0.195,,,,
9728120,1.09E+00,4.33E-04,0.194,,,,
9731930,1.09E+00,4.32E-04,0.193,,,,
9735510,1.09E+00,4.32E-04,0.192,,,,
9745490,1.09E+00,4.29E-04,0.191,,,,
9748070,1.09E+00,4.28E-04,0.19,,,,
9751800,1.09E+00,4.27E-04,0.189,,,,
9754230,1.09E+00,4.29E-04,0.188,,,,
9757260,1.09E+00,4.27E-04,0.187,,,,
9762240,1.09E+00,4.25E-04,0.186,,,,
9765300,1.09E+00,4.26E-04,0.185,,,,
9768650,1.09E+00,4.25E-04,0.184,,,,
9772340,1.09E+00,4.26E-04,0.183,,,,
9774820,1.09E+00,4.23E-04,0.182,,,,
9777160,1.09E+00,4.21E-04,0.181,,,,
9782020,1.09E+00,4.20E-04,0.18,,,,
9786220,1.09E+00,4.14E-04,0.179,,,,
9798060,1.09E+00,4.11E-04,0.178,,,,
9801360,1.09E+00,4.11E-04,0.177,,,,
9804510,1.09E+00,4.09E-04,0.176,,,,
9807990,1.09E+00,4.05E-04,0.175,,,,
9810830,1.09E+00,4.07E-04,0.174,,,,
9817760,1.09E+00,4.03E-04,0.173,,,,
9820840,1.08E+00,3.99E-04,0.172,,,,
9823350,1.09E+00,3.95E-04,0.171,,,,
9826610,1.09E+00,4.03E-04,0.17,,,,
9859350,1.09E+00,3.78E-04,0.169,,,,
9864370,1.09E+00,3.78E-04,0.168,,,,
9867250,1.09E+00,3.79E-04,0.167,,,,
9870560,1.09E+00,3.78E-04,0.166,,,,
9873260,1.09E+00,3.78E-04,0.165,,,,
9877360,1.09E+00,3.75E-04,0.164,,,,
9881560,1.09E+00,3.77E-04,0.163,,,,
9885320,1.09E+00,3.56E-04,0.162,,,,
9888030,1.09E+00,3.63E-04,0.161,,,,
9891680,1.09E+00,3.55E-04,0.16,,,,
9894340,1.09E+00,3.51E-04,0.159,,,,
9899790,1.09E+00,3.36E-04,0.158,,,,
9903220,1.09E+00,3.30E-04,0.157,,,,
9906030,1.09E+00,3.27E-04,0.156,,,,
9910280,1.09E+00,3.38E-04,0.155,,,,
9913330,1.09E+00,3.28E-04,0.154,,,,
9917060,1.09E+00,3.20E-04,0.153,,,,
9920970,1.09E+00,3.07E-04,0.152,,,,
9923650,1.09E+00,3.03E-04,0.151,,,,
9926850,1.09E+00,2.94E-04,0.15,,,,
9969620,1.09E+00,2.66E-04,0.149,,,,
9972680,1.09E+00,2.66E-04,0.148,,,,
9977440,1.09E+00,2.66E-04,0.147,,,,
9980740,1.09E+00,2.58E-04,0.146,,,,
9986440,1.09E+00,2.53E-04,0.145,,,,
9989090,1.09E+00,2.47E-04,0.144,,,,
9998290,1.09E+00,2.23E-04,0.143,,,,
10002050,1.09E+00,2.23E-04,0.142,,,,
10005119,1.09E+00,2.08E-04,0.141,,,,
10012706,1.09E+00,2.15E-04,0.14,,,,
10083940,1.08E+00,1.98E-04,0.139,,,,
10089089,1.09E+00,1.97E-04,0.138,,,,
10092199,1.09E+00,1.98E-04,0.137,,,,
10096150,1.09E+00,1.98E-04,0.136,,,,
10099530,1.09E+00,1.96E-04,0.135,,,,
10102560,1.09E+00,1.87E-04,0.134,,,,
10106240,1.09E+00,1.66E-04,0.133,,,,
10111370,1.09E+00,1.69E-04,0.132,,,,
10116330,1.09E+00,1.55E-04,0.131,,,,
10119890,1.09E+00,1.38E-04,0.13,,,,
10176730,1.09E+00,1.26E-04,0.129,,,,
10179360,1.09E+00,1.26E-04,0.128,,,,
10185140,1.09E+00,1.25E-04,0.127,,,,
10188670,1.09E+00,1.26E-04,0.126,,,,
10191800,1.09E+00,1.25E-04,0.125,,,,
10195750,1.09E+00,1.23E-04,0.124,,,,
10198810,1.09E+00,1.24E-04,0.123,,,,
10205390,1.09E+00,1.06E-04,0.122,,,,
10209949,1.09E+00,9.42E-05,0.121,,,,
10213352,1.09E+00,8.59E-05,0.12,,,,
10221382,1.09E+00,8.66E-05,0.119,,,,
10225309,1.09E+00,8.11E-05,0.118,,,,
10228459,1.09E+00,7.97E-05,0.117,,,,
10231219,1.09E+00,8.28E-05,0.116,,,,
10233582,1.09E+00,8.09E-05,0.115,,,,
10237162,1.09E+00,8.04E-05,0.114,,,,
10239962,1.09E+00,7.59E-05,0.113,,,,
10242872,1.09E+00,7.21E-05,0.112,,,,
10247232,1.09E+00,7.04E-05,0.111,,,,
10250412,1.09E+00,6.72E-05,0.11,,,,
10327522,1.09E+00,5.59E-05,0.109,,,,
10331522,1.09E+00,5.60E-05,0.108,,,,
10335182,1.09E+00,5.65E-05,0.107,,,,
10338322,1.09E+00,5.62E-05,0.106,,,,
10345252,1.09E+00,5.44E-05,0.105,,,,
10350012,1.09E+00,5.28E-05,0.104,,,,
10353324,1.09E+00,5.25E-05,0.103,,,,
10356284,1.09E+00,4.91E-05,0.102,,,,
10359164,1.09E+00,5.08E-05,0.101,,,,
10363409,1.09E+00,4.97E-05,0.1,,,,
10377439,1.09E+00,4.26E-05,0.099,,,,
10382224,1.09E+00,4.21E-05,0.098,,,,
10385869,1.09E+00,4.26E-05,0.097,,,,
10389009,1.09E+00,4.25E-05,0.096,,,,
10393349,1.09E+00,4.25E-05,0.095,,,,
10397584,1.09E+00,4.13E-05,0.094,,,,
10401584,1.09E+00,3.93E-05,0.093,,,,
10405194,1.09E+00,3.68E-05,0.092,,,,
10409074,1.09E+00,3.53E-05,0.091,,,,
10448354,1.09E+00,3.26E-05,0.09,,,,
10451984,1.09E+00,3.24E-05,0.089,,,,
10455214,1.09E+00,3.27E-05,0.088,,,,
10458624,1.09E+00,3.33E-05,0.087,,,,
10461284,1.09E+00,3.25E-05,0.086,,,,
10468814,1.09E+00,3.07E-05,0.085,,,,
10473664,1.09E+00,2.95E-05,0.084,,,,
10479124,1.09E+00,2.86E-05,0.083,,,,
10483134,1.09E+00,2.85E-05,0.082,,,,
10489284,1.09E+00,2.71E-05,0.081,,,,
10496444,1.09E+00,2.68E-05,0.08,,,,
10499954,1.09E+00,2.76E-05,0.079,,,,
10503394,1.09E+00,2.69E-05,0.078,,,,
10506454,1.09E+00,2.62E-05,0.077,,,,
10509584,1.09E+00,2.63E-05,0.076,,,,
10512094,1.09E+00,2.61E-05,0.075,,,,
10514704,1.09E+00,2.64E-05,0.074,,,,
10518104,1.09E+00,2.64E-05,0.073,,,,
10520604,1.09E+00,2.61E-05,0.072,,,,
10523684,1.09E+00,2.56E-05,0.071,,,,
10526714,1.09E+00,2.53E-05,0.07,,,,
10530534,1.09E+00,2.47E-05,0.069,,,,
10535394,1.09E+00,2.48E-05,0.068,,,,
10539644,1.08E+00,2.46E-05,0.067,,,,
10541974,1.09E+00,2.49E-05,0.066,,,,
10546914,1.09E+00,2.44E-05,0.065,,,,
10549724,1.09E+00,2.37E-05,0.064,,,,
10553424,1.09E+00,2.35E-05,0.063,,,,
10556924,1.09E+00,2.34E-05,0.062,,,,
10559654,1.09E+00,2.32E-05,0.061,,,,
10619764,1.09E+00,2.15E-05,0.06,,,,
10622404,1.10E+00,2.14E-05,0.059,,,,
10625024,1.10E+00,2.19E-05,0.058,,,,
10628724,1.10E+00,2.19E-05,0.057,,,,
10631849,1.10E+00,2.21E-05,0.056,,,,
10634284,1.10E+00,2.23E-05,0.055,,,,
10636624,1.10E+00,2.21E-05,0.054,,,,
10639034,1.10E+00,2.19E-05,0.053,,,,
10642144,1.10E+00,2.10E-05,0.052,,,,
10644804,1.10E+00,2.11E-05,0.051,,,,
10648884,1.10E+00,2.08E-05,0.05,,,,
10652214,1.10E+00,2.04E-05,0.049,,,,
10655344,1.09E+00,1.99E-05,0.048,,,,
10657954,1.09E+00,2.02E-05,0.047,,,,
10661104,1.09E+00,2.03E-05,0.046,,,,
10664374,1.09E+00,1.97E-05,0.045,,,,
10668274,1.09E+00,1.96E-05,0.044,,,,
10671584,1.09E+00,1.97E-05,0.043,,,,
10674384,1.09E+00,1.96E-05,0.042,,,,
10677494,1.09E+00,1.95E-05,0.041,,,,
10680444,1.09E+00,1.94E-05,0.04,,,,
10683094,1.09E+00,1.93E-05,0.039,,,,
10685804,1.09E+00,1.89E-05,0.038,,,,
10688254,1.09E+00,1.91E-05,0.037,,,,
10690814,1.09E+00,1.88E-05,0.036,,,,
10693564,1.09E+00,1.85E-05,0.035,,,,
10696394,1.09E+00,1.88E-05,0.034,,,,
10705774,1.09E+00,1.81E-05,0.033,,,,
10708354,1.09E+00,1.84E-05,0.032,,,,
10711165,1.09E+00,1.83E-05,0.031,,,,
10735715,1.09E+00,1.76E-05,0.03,,,,
10738815,1.09E+00,1.77E-05,0.029,,,,
10741255,1.09E+00,1.76E-05,0.028,,,,
10748045,1.09E+00,1.81E-05,0.027,,,,
10750605,1.09E+00,1.80E-05,0.026,,,,
10753055,1.09E+00,1.78E-05,0.025,,,,
10756435,1.09E+00,1.85E-05,0.024,,,,
10758875,1.09E+00,1.77E-05,0.023,,,,
10764845,1.09E+00,1.81E-05,0.022,,,,
10768519,1.09E+00,1.82E-05,0.021,,,,
10773055,1.09E+00,1.77E-05,0.02,,,,
10778085,1.09E+00,1.74E-05,0.019,,,,
10782385,1.09E+00,1.74E-05,0.018,,,,
10791935,1.09E+00,1.74E-05,0.017,,,,
10795079,1.09E+00,1.72E-05,0.016,,,,
10798695,1.09E+00,1.75E-05,0.015,,,,
10806795,1.09E+00,1.77E-05,0.014,,,,
10811449,1.09E+00,1.76E-05,0.013,,,,
10816879,1.09E+00,1.75E-05,0.012,,,,
10821309,1.09E+00,1.76E-05,0.011,,,,
10830365,1.09E+00,1.76E-05,0.01,,,,
10833369,1.09E+00,1.74E-05,0.009,,,,
10836485,1.09E+00,1.74E-05,0.008,,,,
10839115,1.09E+00,1.74E-05,0.007,,,,
10843415,1.09E+00,1.73E-05,0.006,,,,
10846710,,,0.005,,,,
10851795,1.09E+00,1.73E-05,0.004,,,,
10854595,1.09E+00,1.77E-05,0.003,,,,
10857855,1.09E+00,1.75E-05,0.002,,,,
10860515,1.09E+00,1.74E-05,0.001,,,,
10874115,1.09E+00,1.71E-05,0,,,,
