#[Manufacturer],[Hostname],[Delta t],[Date],[Mode],[File Version],"Rules:
Choose closest ms value to stapwatch time
If tie choose bigger value
if more than 10ms away dont fill in the value",
Thorlabs,PM5020_5E,10 ms,2026-07-30 22:56:56,CW,1,,
,,,,,,,
#[Ch],[Name],[Serial],[Type],[Wavelength],[Range],[Attenuation],[Unit]
0,S425C-L,1932731,Thermopile,1064 nm,auto,0 dB,W
1,S120VC,230131112,Photodiode,1064 nm,auto,0 dB,W
,,,,,,,
#[ms],[Ch: 1],[Ch: 2],#[meter],,,,
2661390,1.09E+00,5.07E-04,0.605,,,,
2677670,1.09E+00,5.06E-04,0.604,,,,
2690419,1.09E+00,5.06E-04,0.603,,,,
2701750,1.09E+00,5.07E-04,0.602,,,,
2710880,1.09E+00,5.06E-04,0.601,,,,
2720360,1.09E+00,5.07E-04,0.6,,,,
2735290,1.09E+00,5.06E-04,0.599,,,,
2756740,1.09E+00,5.06E-04,0.598,,,,
2771900,1.09E+00,5.07E-04,0.597,,,,
2789500,1.09E+00,5.06E-04,0.596,,,,
2804880,1.09E+00,5.06E-04,0.595,,,,
2826990,1.09E+00,5.06E-04,0.594,,,,
2836730,1.09E+00,5.06E-04,0.593,,,,
2859660,1.09E+00,5.06E-04,0.592,,,,
2872920,1.09E+00,5.06E-04,0.591,,,,
2886180,1.09E+00,5.06E-04,0.59,,,,
2906510,1.09E+00,5.06E-04,0.589,,,,
2929560,1.09E+00,5.06E-04,0.588,,,,
2972560,1.09E+00,5.05E-04,0.587,,,,
2986460,1.09E+00,5.06E-04,0.586,,,,
3510880,1.09E+00,5.06E-04,0.585,,,,
3531010,1.09E+00,5.07E-04,0.584,,,,
3565940,1.09E+00,5.08E-04,0.583,,,,
3587010,1.10E+00,5.08E-04,0.582,,,,
3630210,1.09E+00,5.07E-04,0.581,,,,
3643460,1.10E+00,5.07E-04,0.58,,,,
3701400,1.10E+00,5.08E-04,0.579,,,,
3722570,1.09E+00,5.07E-04,0.578,,,,
3747640,1.09E+00,5.07E-04,0.577,,,,
3761910,1.10E+00,5.07E-04,0.576,,,,
3787990,1.09E+00,5.07E-04,0.575,,,,
3804370,1.10E+00,5.07E-04,0.574,,,,
3819600,1.10E+00,5.06E-04,0.573,,,,
3832060,1.09E+00,5.06E-04,0.572,,,,
3840359,1.09E+00,5.06E-04,0.571,,,,
3859620,1.09E+00,5.06E-04,0.57,,,,
3879390,1.09E+00,5.06E-04,0.569,,,,
3903990,1.09E+00,5.05E-04,0.568,,,,
3914040,1.09E+00,5.05E-04,0.567,,,,
3924560,1.09E+00,5.05E-04,0.566,,,,
3935360,1.09E+00,5.05E-04,0.565,,,,
3943820,1.09E+00,5.05E-04,0.564,,,,
3957100,1.09E+00,5.05E-04,0.563,,,,
3966650,1.09E+00,5.05E-04,0.562,,,,
3976060,1.09E+00,5.05E-04,0.561,,,,
3986610,1.09E+00,5.05E-04,0.56,,,,
3994860,1.09E+00,5.05E-04,0.559,,,,
4005010,1.09E+00,5.04E-04,0.558,,,,
4012490,1.09E+00,5.04E-04,0.557,,,,
4161590,1.09E+00,5.06E-04,0.556,,,,
4193440,1.09E+00,5.05E-04,0.555,,,,
4212190,1.09E+00,5.05E-04,0.554,,,,
4241860,1.09E+00,5.04E-04,0.553,,,,
4263109,1.09E+00,5.04E-04,0.552,,,,
4280190,1.09E+00,5.03E-04,0.551,,,,
4322910,1.09E+00,5.04E-04,0.55,,,,
4333910,1.09E+00,5.04E-04,0.549,,,,
4353380,1.09E+00,5.04E-04,0.548,,,,
4369490,1.08E+00,5.04E-04,0.547,,,,
4410130,1.09E+00,5.03E-04,0.546,,,,
4443979,1.09E+00,5.04E-04,0.545,,,,
4513880,1.09E+00,5.04E-04,0.544,,,,
4529030,1.09E+00,5.04E-04,0.543,,,,
4544460,1.09E+00,5.04E-04,0.542,,,,
4570240,1.08E+00,5.03E-04,0.541,,,,
4625800,1.09E+00,5.03E-04,0.54,,,,
4656780,1.09E+00,5.04E-04,0.539,,,,
4702120,1.09E+00,5.03E-04,0.538,,,,
4740970,1.08E+00,5.03E-04,0.537,,,,
4755320,1.09E+00,5.05E-04,0.536,,,,
4793060,1.09E+00,5.05E-04,0.535,,,,
4810730,1.09E+00,5.05E-04,0.534,,,,
4832430,1.09E+00,5.04E-04,0.533,,,,
4865529,1.09E+00,5.04E-04,0.532,,,,
4882660,1.09E+00,5.04E-04,0.531,,,,
4893020,1.09E+00,5.04E-04,0.53,,,,
4909840,1.09E+00,5.04E-04,0.529,,,,
4920870,1.09E+00,5.04E-04,0.528,,,,
4935030,1.09E+00,5.03E-04,0.527,,,,
4945280,1.09E+00,5.04E-04,0.526,,,,
5505760,1.08E+00,5.02E-04,0.525,,,,
5511290,1.08E+00,5.02E-04,0.524,,,,
5536140,1.09E+00,5.03E-04,0.523,,,,
5586290,1.09E+00,5.03E-04,0.522,,,,
5612060,1.09E+00,5.03E-04,0.521,,,,
5677469,1.08E+00,5.02E-04,0.52,,,,
5701520,1.09E+00,5.02E-04,0.519,,,,
5730420,1.08E+00,5.02E-04,0.518,,,,
5743830,1.09E+00,5.02E-04,0.517,,,,
5752830,1.09E+00,5.02E-04,0.516,,,,
5762530,1.08E+00,5.02E-04,0.515,,,,
6010930,1.08E+00,5.02E-04,0.514,,,,
6049520,1.09E+00,5.00E-04,0.513,,,,
6064449,1.09E+00,5.00E-04,0.512,,,,
6073060,1.09E+00,5.00E-04,0.511,,,,
6080109,1.09E+00,5.00E-04,0.51,,,,
6084739,1.08E+00,5.00E-04,0.509,,,,
6089970,1.09E+00,5.00E-04,0.508,,,,
6095030,1.08E+00,5.00E-04,0.507,,,,
6100059,1.08E+00,5.00E-04,0.506,,,,
6106110,1.09E+00,5.00E-04,0.505,,,,
6112940,1.09E+00,5.00E-04,0.504,,,,
6117210,1.09E+00,5.00E-04,0.503,,,,
6121500,1.08E+00,5.00E-04,0.502,,,,
6127080,1.09E+00,5.00E-04,0.501,,,,
6132510,1.09E+00,5.00E-04,0.5,,,,
6137260,1.08E+00,5.00E-04,0.499,,,,
6143090,1.09E+00,5.00E-04,0.498,,,,
6147400,1.09E+00,5.00E-04,0.497,,,,
6155210,1.09E+00,5.00E-04,0.496,,,,
6162870,1.08E+00,5.01E-04,0.495,,,,
6170750,1.09E+00,5.00E-04,0.494,,,,
6178650,1.09E+00,5.00E-04,0.493,,,,
6183260,1.09E+00,5.00E-04,0.492,,,,
6187160,1.09E+00,5.00E-04,0.491,,,,
6191970,1.09E+00,5.00E-04,0.49,,,,
6196170,1.09E+00,5.00E-04,0.489,,,,
6199980,1.09E+00,5.01E-04,0.488,,,,
6205730,1.09E+00,5.00E-04,0.487,,,,
6212960,1.09E+00,5.00E-04,0.486,,,,
6217170,1.09E+00,5.00E-04,0.485,,,,
6223160,1.08E+00,5.00E-04,0.484,,,,
6226230,1.09E+00,5.01E-04,0.483,,,,
6230810,1.09E+00,5.01E-04,0.482,,,,
6235040,1.08E+00,5.00E-04,0.481,,,,
6239070,1.09E+00,5.01E-04,0.48,,,,
6242980,1.09E+00,5.01E-04,0.479,,,,
6246780,1.09E+00,5.01E-04,0.478,,,,
6251300,1.09E+00,5.01E-04,0.477,,,,
6256640,1.09E+00,5.01E-04,0.476,,,,
6261649,1.09E+00,5.02E-04,0.475,,,,
6265330,1.09E+00,5.01E-04,0.474,,,,
6269160,1.09E+00,5.01E-04,0.473,,,,
6272290,1.09E+00,5.02E-04,0.472,,,,
6276589,1.09E+00,5.02E-04,0.471,,,,
6280600,1.09E+00,5.02E-04,0.47,,,,
6613750,1.09E+00,5.02E-04,0.469,,,,
6676960,1.09E+00,5.04E-04,0.468,,,,
6685369,1.08E+00,5.04E-04,0.467,,,,
6692690,1.09E+00,5.04E-04,0.466,,,,
6712490,1.09E+00,5.05E-04,0.465,,,,
6729350,1.09E+00,5.06E-04,0.464,,,,
6738390,1.09E+00,5.07E-04,0.463,,,,
6753590,1.09E+00,5.07E-04,0.462,,,,
6760450,1.09E+00,5.07E-04,0.461,,,,
6765780,1.09E+00,5.07E-04,0.46,,,,
6770860,1.09E+00,5.07E-04,0.459,,,,
6821850,1.09E+00,5.07E-04,0.458,,,,
6826470,1.09E+00,5.07E-04,0.457,,,,
6830150,1.10E+00,5.07E-04,0.456,,,,
6835380,1.10E+00,5.08E-04,0.455,,,,
6839720,1.09E+00,5.08E-04,0.454,,,,
6846890,1.10E+00,5.07E-04,0.453,,,,
6851900,1.10E+00,5.07E-04,0.452,,,,
6857360,1.10E+00,5.07E-04,0.451,,,,
6866769,1.09E+00,5.07E-04,0.45,,,,
6957150,1.09E+00,5.07E-04,0.449,,,,
6969290,1.10E+00,5.07E-04,0.448,,,,
6979320,1.09E+00,5.08E-04,0.447,,,,
6990900,1.10E+00,5.08E-04,0.446,,,,
7004520,1.10E+00,5.08E-04,0.445,,,,
7015080,1.10E+00,5.08E-04,0.444,,,,
7020690,1.10E+00,5.08E-04,0.443,,,,
7024720,1.10E+00,5.08E-04,0.442,,,,
7028470,1.10E+00,5.09E-04,0.441,,,,
7032140,1.10E+00,5.09E-04,0.44,,,,
7205040,1.10E+00,5.08E-04,0.439,,,,
7230570,1.10E+00,5.08E-04,0.438,,,,
7270189,1.09E+00,5.08E-04,0.437,,,,
7292919,1.10E+00,5.08E-04,0.436,,,,
7310139,1.10E+00,5.07E-04,0.435,,,,
7319730,1.09E+00,5.08E-04,0.434,,,,
7342350,1.09E+00,5.08E-04,0.433,,,,
7347570,1.10E+00,5.07E-04,0.432,,,,
7371640,1.09E+00,5.07E-04,0.431,,,,
7382720,1.09E+00,5.07E-04,0.43,,,,
7392150,1.09E+00,5.07E-04,0.429,,,,
7410380,1.09E+00,5.07E-04,0.428,,,,
7446750,1.09E+00,5.06E-04,0.427,,,,
7476180,1.09E+00,5.06E-04,0.426,,,,
7518650,1.09E+00,5.05E-04,0.425,,,,
7525060,1.09E+00,5.06E-04,0.424,,,,
7532520,1.09E+00,5.06E-04,0.423,,,,
7539900,1.09E+00,5.05E-04,0.422,,,,
7544930,1.09E+00,5.05E-04,0.421,,,,
7550539,1.09E+00,5.05E-04,0.42,,,,
7558300,1.09E+00,5.05E-04,0.419,,,,
7572730,1.09E+00,5.05E-04,0.418,,,,
7590380,1.09E+00,5.04E-04,0.417,,,,
7596580,1.09E+00,5.04E-04,0.416,,,,
7600260,1.09E+00,5.04E-04,0.415,,,,
7606490,7.61E+06,5.04E-04,0.414,,,,
7612380,1.09E+00,5.04E-04,0.413,,,,
7622690,1.09E+00,5.04E-04,0.412,,,,
7626250,1.09E+00,5.03E-04,0.411,,,,
8151930,1.09E+00,5.03E-04,0.41,,,,
8160740,1.09E+00,5.01E-04,0.409,,,,
8165720,1.09E+00,5.01E-04,0.408,,,,
8170850,1.09E+00,5.02E-04,0.407,,,,
8174730,1.09E+00,5.02E-04,0.406,,,,
8180850,1.09E+00,5.01E-04,0.405,,,,
8186370,1.09E+00,5.02E-04,0.404,,,,
8189820,1.09E+00,5.01E-04,0.403,,,,
8194350,1.09E+00,5.01E-04,0.402,,,,
8200330,1.09E+00,5.01E-04,0.401,,,,
8204180,1.09E+00,5.01E-04,0.4,,,,
8245020,1.10E+00,5.05E-04,0.399,,,,
8248320,1.10E+00,5.05E-04,0.398,,,,
8253570,1.10E+00,5.04E-04,0.397,,,,
8258779,1.10E+00,5.03E-04,0.396,,,,
8263220,1.10E+00,5.03E-04,0.395,,,,
8268029,1.10E+00,5.02E-04,0.394,,,,
8271240,1.09E+00,5.02E-04,0.393,,,,
8276290,1.09E+00,5.01E-04,0.392,,,,
8280650,1.09E+00,5.01E-04,0.391,,,,
8284720,1.09E+00,5.00E-04,0.39,,,,
8287960,1.09E+00,5.00E-04,0.389,,,,
8292440,1.09E+00,5.00E-04,0.388,,,,
8298290,1.09E+00,4.99E-04,0.387,,,,
8308350,1.09E+00,4.99E-04,0.386,,,,
8311850,1.09E+00,4.99E-04,0.385,,,,
8315010,1.09E+00,4.98E-04,0.384,,,,
8319160,1.09E+00,4.99E-04,0.383,,,,
8323290,1.09E+00,4.98E-04,0.382,,,,
8327140,1.09E+00,4.98E-04,0.381,,,,
8330820,1.09E+00,4.98E-04,0.38,,,,
8334030,1.09E+00,4.97E-04,0.379,,,,
8336930,1.09E+00,4.97E-04,0.378,,,,
8341690,1.09E+00,4.97E-04,0.377,,,,
8344790,1.09E+00,4.97E-04,0.376,,,,
8348570,1.09E+00,4.97E-04,0.375,,,,
8354480,1.09E+00,4.97E-04,0.374,,,,
8358860,1.09E+00,4.97E-04,0.373,,,,
8361800,1.09E+00,4.96E-04,0.372,,,,
8366080,1.09E+00,4.96E-04,0.371,,,,
8372360,1.08E+00,4.96E-04,0.37,,,,
8376260,1.09E+00,4.97E-04,0.369,,,,
8380690,1.09E+00,4.96E-04,0.368,,,,
8384250,1.09E+00,4.96E-04,0.367,,,,
8386850,1.09E+00,4.97E-04,0.366,,,,
8391230,1.09E+00,4.96E-04,0.365,,,,
8396130,1.09E+00,4.96E-04,0.364,,,,
8399370,1.09E+00,4.96E-04,0.363,,,,
8402730,1.09E+00,4.96E-04,0.362,,,,
8406070,1.09E+00,4.96E-04,0.361,,,,
8409220,1.09E+00,4.96E-04,0.36,,,,
8413530,1.09E+00,4.96E-04,0.359,,,,
8417660,1.09E+00,4.96E-04,0.358,,,,
8421500,1.09E+00,4.96E-04,0.357,,,,
8424830,1.09E+00,4.96E-04,0.356,,,,
8427880,1.09E+00,4.95E-04,0.355,,,,
8430640,1.09E+00,4.96E-04,0.354,,,,
8433390,1.09E+00,4.96E-04,0.353,,,,
8436490,1.09E+00,4.95E-04,0.352,,,,
8439870,1.09E+00,4.95E-04,0.351,,,,
8445230,1.09E+00,4.96E-04,0.35,,,,
8449890,1.09E+00,4.95E-04,0.349,,,,
