#[Manufacturer],[Hostname],[Delta t],[Date],[Mode],[File Version],"Rules:
Choose closest ms value to stapwatch time
If tie take average of the two values
if more than 10ms away dont fill in the value",
Thorlabs,PM5020_5E,10 ms,2026-07-15 5:12:21,CW,1,,
,,,,,,,
#[Ch],[Name],[Serial],[Type],[Wavelength],[Range],[Attenuation],[Unit]
0,S425C-L,1932731,Thermopile,1064 nm,manual,0 dB,W
1,S120VC,230131112,Photodiode,1064 nm,auto,0 dB,W
,,,,,,,
#[ms],[Ch: 1],[Ch: 2],#[meter],,,,
23300,1.08E+00,6.72E-05,0.25,,,,
34210,1.09E+00,7.20E-05,0.249,,,,
48160,1.08E+00,6.92E-05,0.248,,,,
58810,1.08E+00,6.99E-05,0.247,,,,
65540,1.08E+00,7.01E-05,0.246,,,,
79490,1.08E+00,6.94E-05,0.245,,,,
89600,1.08E+00,6.91E-05,0.244,,,,
98760,1.07E+00,7.13E-05,0.243,,,,
105070,1.07E+00,6.81E-05,0.242,,,,
112350,1.08E+00,7.26E-05,0.241,,,,
116610,1.08E+00,7.14E-05,0.24,,,,
130190,1.07E+00,7.05E-05,0.239,,,,
147410,1.07E+00,6.92E-05,0.238,,,,
152770,1.07E+00,7.07E-05,0.237,,,,
172350,1.08E+00,6.76E-05,0.236,,,,
179050,1.08E+00,6.72E-05,0.235,,,,
186280,1.08E+00,6.82E-05,0.234,,,,
192880,1.08E+00,7.18E-05,0.233,,,,
198230,1.08E+00,7.17E-05,0.232,,,,
205310,1.08E+00,7.24E-05,0.231,,,,
211360,1.09E+00,7.09E-05,0.23,,,,
217540,1.09E+00,7.10E-05,0.229,,,,
225600,1.09E+00,7.05E-05,0.228,,,,
279610,1.11E+00,6.62E-05,0.227,,,,
289290,1.10E+00,6.74E-05,0.226,,,,
297940,1.11E+00,6.66E-05,0.225,,,,
305950,1.10E+00,6.58E-05,0.224,,,,
312810,1.10E+00,6.71E-05,0.223,,,,
324290,1.10E+00,6.61E-05,0.222,,,,
333070,1.10E+00,6.60E-05,0.221,,,,
358190,1.10E+00,6.60E-05,0.22,,,,
366440,1.09E+00,6.70E-05,0.219,,,,
375020,1.08E+00,6.71E-05,0.218,,,,
387430,1.09E+00,6.52E-05,0.217,,,,
399980,1.08E+00,6.63E-05,0.216,,,,
414340,1.09E+00,6.64E-05,0.215,,,,
436420,1.08E+00,6.53E-05,0.214,,,,
445070,1.07E+00,6.69E-05,0.213,,,,
465170,1.08E+00,6.68E-05,0.212,,,,
473380,1.07E+00,6.58E-05,0.211,,,,
497750,1.07E+00,6.78E-05,0.21,,,,
509010,1.08E+00,6.68E-05,0.209,,,,
