#[Manufacturer],[Hostname],[Delta t],[Date],[Mode],[File Version],"Rules:
Choose closest ms value to stapwatch time
If tie choose bigger value
if more than 10ms away dont fill in the value",
Thorlabs,PM5020_5E,10 ms,2026-08-13 4:52:00,CW,1,,
,,,,,,,
#[Ch],[Name],[Serial],[Type],[Wavelength],[Range],[Attenuation],[Unit]
0,S425C-L,1932731,Thermopile,1064 nm,auto,0 dB,W
1,S120VC,230131112,Photodiode,1064 nm,auto,0 dB,W
,,,,,,,
#[ms],[Ch: 1],[Ch: 2],#[meter],,,,
82860,1.10E+00,5.01E-04,0,,,,
101780,1.10E+00,5.01E-04,0.001,,,,
117720,1.10E+00,5.01E-04,0.002,,,,
131610,1.10E+00,5.01E-04,0.003,,,,
149610,1.10E+00,5.01E-04,0.004,,,,
169280,1.10E+00,5.01E-04,0.005,,,,
185610,1.10E+00,5.01E-04,0.006,,,,
202910,1.10E+00,5.00E-04,0.007,,,,
224980,1.10E+00,5.00E-04,0.008,,,,
242610,1.10E+00,5.00E-04,0.009,,,,
258960,1.10E+00,5.00E-04,0.01,,,,
276490,1.10E+00,5.00E-04,0.011,,,,
296260,1.10E+00,5.01E-04,0.012,,,,
318880,1.10E+00,5.01E-04,0.013,,,,
339280,1.10E+00,5.01E-04,0.014,,,,
358950,1.10E+00,5.01E-04,0.015,,,,
377170,1.10E+00,5.01E-04,0.016,,,,
399040,1.11E+00,5.01E-04,0.017,,,,
420910,1.11E+00,5.02E-04,0.018,,,,
443890,1.11E+00,5.02E-04,0.019,,,,
461390,1.11E+00,5.03E-04,0.02,,,,
482850,1.11E+00,5.03E-04,0.021,,,,
500969,1.11E+00,5.04E-04,0.022,,,,
522390,1.11E+00,5.04E-04,0.023,,,,
535950,1.11E+00,5.04E-04,0.024,,,,
554780,1.11E+00,5.04E-04,0.025,,,,
573580,5.74E+05,5.04E-04,0.026,,,,
589590,1.11E+00,5.05E-04,0.027,,,,
606990,1.11E+00,5.04E-04,0.028,,,,
629210,1.11E+00,5.05E-04,0.029,,,,
645130,1.11E+00,5.05E-04,0.03,,,,
659530,1.12E+00,5.06E-04,0.031,,,,
680630,1.12E+00,5.06E-04,0.032,,,,
697350,1.11E+00,5.06E-04,0.033,,,,
720819,1.12E+00,5.05E-04,0.034,,,,
