Power (mW),Distance (mm),Ambient power,Power (mW)  filtered,
1.22E-04,0.125,1.09E+00,1.12E-04,**
1.19E-04,0.124,1.07E+00,1.11E-04,**
1.25E-04,0.123,1.07E+00,1.17E-04,**
1.32E-04,0.122,1.07E+00,1.23E-04,**
1.38E-04,0.121,1.06E+00,1.30E-04,**
1.45E-04,0.12,1.07E+00,1.35E-04,**
1.46E-04,0.119,1.06E+00,1.37E-04,**
1.49E-04,0.118,1.06E+00,1.41E-04,**
1.53E-04,0.117,1.07E+00,1.43E-04,**
1.63E-04,0.116,1.06E+00,1.53E-04,**
1.77E-04,0.115,1.06E+00,1.67E-04,**
1.66E-04,0.114,1.07E+00,1.56E-04,**
1.71E-04,0.113,1.07E+00,1.59E-04,**
1.79E-04,0.112,1.08E+00,1.66E-04,*
1.89E-04,0.111,1.08E+00,1.75E-04,**
1.98E-04,0.109,1.08E+00,1.83E-04,***
2.02E-04,0.108,1.10E+00,1.84E-04,avg at 0.05
2.08E-04,0.107,1.10E+00,1.89E-04,avg at 0.05
2.19E-04,0.106,1.10E+00,1.99E-04,avg at 0.05
2.22E-04,0.105,1.09E+00,2.04E-04,avg at 0.05
2.37E-04,0.104,1.09E+00,2.18E-04,avg at 0.05
2.45E-04,0.103,1.09E+00,2.25E-04,avg at 0.05
2.55E-04,0.101,1.10E+00,2.33E-04,****
2.72E-04,0.1,1.10E+00,2.47E-04,avg at 0.05
2.80E-04,0.099,1.10E+00,2.54E-04,avg at 0.05
2.87E-04,0.098,1.10E+00,2.61E-04,avg at 0.05
2.90E-04,0.096,1.09E+00,2.66E-04,
2.97E-04,0.095,1.08E+00,2.76E-04,****
2.99E-04,0.094,1.08E+00,2.77E-04,avg at 0.05
2.99E-04,0.093,1.08E+00,2.78E-04,avg at 0.05
3.02E-04,0.092,1.06E+00,2.84E-04,avg at 0.05
3.17E-04,0.091,1.07E+00,2.98E-04,avg at 0.05
3.26E-04,0.09,1.06E+00,3.07E-04,avg at 0.05
3.34E-04,0.089,1.05E+00,3.18E-04,****
3.39E-04,0.088,1.06E+00,3.21E-04,avg at 0.05
3.51E-04,0.086,1.06E+00,3.32E-04,avg at 0.05
3.53E-04,0.085,1.07E+00,3.30E-04,avg at 0.05
3.68E-04,0.084,1.08E+00,3.42E-04,****
3.70E-04,0.083,1.07E+00,3.46E-04,avg at 0.05
3.74E-04,0.082,1.09E+00,3.45E-04,avg at 0.05
3.89E-04,0.081,1.09E+00,3.57E-04,avg at 0.05
3.94E-04,0.08,1.10E+00,3.58E-04,avg at 0.05
4.01E-04,0.079,1.10E+00,3.66E-04,avg at 0.05
4.15E-04,0.077,1.10E+00,3.79E-04,avg at 0.05
4.09E-04,0.076,1.09E+00,3.77E-04,avg at 0.05
4.11E-04,0.075,1.08E+00,3.79E-04,avg at 0.05
4.18E-04,0.074,1.07E+00,3.89E-04,avg at 0.05
4.21E-04,0.073,1.08E+00,3.90E-04,avg at 0.05
4.20E-04,0.072,1.08E+00,3.89E-04,avg at 0.05
4.23E-04,0.071,1.07E+00,3.94E-04,avg at 0.05
4.29E-04,0.07,1.08E+00,3.98E-04,avg at 0.05
4.34E-04,0.069,1.08E+00,4.03E-04,****
4.37E-04,0.068,1.08E+00,4.05E-04,avg at 0.05
4.46E-04,0.067,1.08E+00,4.12E-04,avg at 0.05
4.50E-04,0.066,1.09E+00,4.11E-04,avg at 0.05
4.53E-04,0.065,1.08E+00,4.18E-04,****
4.53E-04,0.064,1.09E+00,4.16E-04,avg at 0.05
4.51E-04,0.063,1.09E+00,4.14E-04,avg at 0.05
4.57E-04,0.062,1.09E+00,4.20E-04,avg at 0.05
4.56E-04,0.061,1.09E+00,4.19E-04,avg at 0.05
4.58E-04,0.06,1.09E+00,4.22E-04,avg at 0.05
4.82E-04,0.059,1.09E+00,4.42E-04,avg at 0.05
4.68E-04,0.058,1.08E+00,4.32E-04,avg at 0.05
4.69E-04,0.057,1.08E+00,4.36E-04,avg at 0.05
4.69E-04,0.056,1.07E+00,4.38E-04,avg at 0.05
4.68E-04,0.055,1.08E+00,4.35E-04,avg at 0.05
4.68E-04,0.054,1.07E+00,4.37E-04,avg at 0.05
4.70E-04,0.053,1.07E+00,4.39E-04,avg at 0.05
4.73E-04,0.052,1.08E+00,4.40E-04,avg at 0.05
4.90E-04,0.051,1.08E+00,4.52E-04,avg at 0.05
4.83E-04,0.05,1.09E+00,4.43E-04,avg at 0.05
4.97E-04,0.049,1.10E+00,4.50E-04,avg at 0.05
4.90E-04,0.048,1.10E+00,4.45E-04,avg at 0.05
4.88E-04,0.046,1.09E+00,4.47E-04,avg at 0.05
4.84E-04,0.045,1.08E+00,4.49E-04,avg at 0.05
